"CurrentName","DNVoucher","Provenance","RowNum","YearPlanted","TreeNum","RowTree","FieldID"
"Eucalyptus moderata","DN 2230","Cadoux, WA",188,2000,33,"R188/T33","CCA3799"
"Eucalyptus moderata","DN 2230","Cadoux, WA",188,2000,34,"R188/T34","CCA3800"
"Eucalyptus moderata","DN 2230","Cadoux, WA",188,2000,35,"R188/T35","CCA3801"
"Eucalyptus coronata","DN 2247","East Mt Barren, WA",188,2000,36,"R188/T36","CCA3802"
"Eucalyptus coronata","DN 2247","East Mt Barren, WA",188,2000,37,"R188/T37","CCA3803"
"Eucalyptus polyanthemos subsp. polyanthemos","DN 2899","Adelong, NSW",189,2000,1,"R189/T01","CCA3804"
"Eucalyptus polyanthemos subsp. polyanthemos","DN 2899","Adelong, NSW",189,2000,2,"R189/T02","CCA3805"
"Eucalyptus polyanthemos subsp. polyanthemos","DN 2899","Adelong, NSW",189,2000,3,"R189/T03","CCA3806"
"Eucalyptus polyanthemos subsp. polyanthemos","DN 2899","Adelong, NSW",189,2000,4,"R189/T04","CCA3807"
"Eucalyptus oleosa subsp. cylindroidea","DN 2259","Lort River, WA",189,2000,5,"R189/T05","CCA3808"
